0,2
1,2
2,4
3,2
4,2
5,2
6,2
7,2
8,0
9,10
10,2
11,2
12,9.5
13,6
14,10
15,6
16,11.5
17,6
18,2
19,8
20,6
21,8.5
22,14
23,2
24,0
25,2
26,4
27,10
28,15.5
29,6
30,1.5
31,6
32,6
33,6
34,6
35,2
36,6
37,29.5
38,36.5
39,2
40,2
41,21
42,2
43,2
44,2
45,2
46,2
47,30.5
48,6
49,2
50,2
51,19
52,6
53,62.5
54,2
55,0
56,53.5
57,2
58,2
59,15
60,0
61,12
62,10
63,10
64,34
65,10
66,10
67,4
68,2
69,12
70,7.5
71,6
72,68
73,25
74,6
75,19.5
76,15.5
77,15.5
78,35
79,6
80,10
81,55
82,9
83,34.5
84,0
85,59
86,2
87,2
88,4
89,14
90,22.5
91,4
92,10
93,8.5
94,4
95,8.5
96,51
97,9
98,4
99,47
100,69
101,6
102,8
103,64
104,52.5
105,96
106,7
107,12
108,15
109,6
110,2
111,123
112,0
113,1.5
114,2
115,2
116,2
117,2
118,2
119,0
120,2
121,2
122,0
123,135.5
124,6
125,18.5
126,14
127,60.5
128,5
129,8
130,64.5
131,15.5
132,14
133,77.5
134,21.5
135,2
136,2
137,2
138,4
139,0
140,69.5
141,0
142,97
143,2
144,10
145,6
146,19
147,44.5
148,10
149,10
150,6
151,10
152,6
153,2
154,14
155,20
156,5.5
157,2
158,30
159,2
160,38
161,4
162,20
163,0
164,0
165,6
166,6
167,6
168,121.5
169,6
170,34.5
171,73
172,6
173,5.5
174,86.5
175,2
176,24.5
177,0
178,143
179,2
180,2
181,2
182,2
183,2
184,4
185,2
186,2
187,0
188,4
189,71
190,183.5
191,6
192,6
193,8.5
194,66.5
195,27.5
196,4
197,2
198,34.5
199,16.5
200,6
201,12
202,1
203,0
204,0
205,4
206,10
207,6
208,47
209,2
210,75
211,44.5
212,4
213,26
214,73.5
215,11.5
216,2
217,11.5
218,2
219,2
220,2
221,6
222,42
223,139
224,76
225,8.5
226,77
227,6
228,21
229,6
230,14
231,10
232,6
233,14
234,11
235,25.5
236,5.5
237,137
238,52.5
239,10
240,187
241,16.5
242,146
243,15.5
244,4
245,2
246,2
247,194.5
248,123.5
249,76
250,2
251,6
252,6
253,24.5
254,32.5
255,6
256,6
257,87.5
258,23.5
259,8
260,21
261,2
262,0
263,97
264,21.5
265,10
266,4
267,105
268,19.5
269,6
270,22.5
271,23
272,50
273,6
274,11.5
275,55
276,13
277,32
278,29
279,184.5
280,0
281,2
282,15.5
283,2
284,2
285,2
286,2
287,2
288,2
289,10
290,10
291,47
292,2
293,10
294,38.5
295,45.5
296,6
297,14
298,81
299,2
300,2
301,127
302,2
303,2
304,2
305,2
306,9.5
307,69.5
308,26
309,6
310,17.5
311,19
312,5
313,16
314,2
315,6
316,12.5
317,25
318,159.5
319,6
320,14
321,2
322,114.5
323,2
324,2
325,12.5
326,6
327,305.5
328,53
329,10
330,18
331,119.5
332,10
333,13.5
334,6
335,7
336,139
337,6
338,35.5
339,6
340,6
341,4
342,7
343,11.5
344,26
345,0
346,2
347,2
348,2
349,0
350,14.5
351,14
352,84
353,60.5
354,6
355,6
356,2
357,6
358,12
359,10
360,2
361,88
362,143.5
363,42
364,0
365,9
366,0
367,2
368,2
369,2
370,6
371,7.5
372,22
373,31
374,4
375,102
376,117.5
377,64.5
378,2
379,4
380,2
381,6
382,290
383,127.5
384,24
385,104
386,7.5
387,12.5
388,6
389,10
390,25
391,3
392,2
393,2
394,4
395,0
396,2
397,2
398,36
399,42
400,15.5
401,57.5
402,6
403,14
404,26
405,15.5
406,6
407,0
408,2
409,0
410,82.5
411,2
412,0
413,34.5
414,221
415,2
416,7
417,25.5
418,60
419,6
420,10
421,23
422,63
423,0
424,0
425,4
426,0
427,390.5
428,168.5
429,29
430,19
431,10
432,276
433,18
434,21.5
435,117
436,504
437,0
438,86
439,2
440,2
441,2
442,2
443,4
444,2
445,2
446,2
447,11
448,2
449,12.5
450,9
451,6
452,135
453,53.5
454,6
455,4
456,10
457,319.5
458,51
459,2
460,2
461,2
462,2
463,2
464,2.5
465,19.5
466,10
467,37
468,131
469,28.5
470,10
471,130.5
472,40
473,6
474,12
475,80
476,222.5
477,152
478,2
479,84
480,2
481,28.5
482,0
483,2
484,0
485,0
486,19.5
487,45.5
488,10
489,94
490,11
491,30
492,10
493,182
494,157
